Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
202000000001,1,7,,0,2,2,15,B01
202000000001,1,33,,0,2,1,2,A01
202000000002,3,7,,0,1,2,26,A01
202000000003,1,7,,0,2,1,1,B01
202000000003,1,7,,0,2,8,1,A01
202000000004,3,7,,0,1,3,1,A01
202000000005,1,7,,0,2,2,2,B01
202000000005,1,7,,0,2,5,2,A01
202000000006,2,2,,0,2,2,1,B01
202000000006,1,10,,0,2,1,9,A01
202000000007,1,7,,0,2,2,21,A01
202000000007,1,7,,0,2,6,2,B01
202000000008,3,7,,0,2,3,15,B01
202000000008,2,2,,0,2,1,19,A01
202000000009,1,7,,0,1,2,16,A01
202000000010,1,7,,0,2,1,13,A01
202000000010,2,7,,0,2,2,21,B01
202000000011,2,7,,0,2,2,15,A01
202000000011,2,1,,0,2,5,19,B01
202000000012,2,7,,0,1,3,26,A01
202000000013,1,7,,13,0,1,1,A01
202000000014,2,1,,0,2,4,16,B01
202000000014,2,7,,0,2,2,16,A01
202000000015,2,7,,9,0,1,19,A01
202000000016,2,7,,0,2,1,2,C01
202000000016,2,7,,0,2,1,2,D01
202000000016,2,7,,0,2,1,2,A01
202000000016,2,7,,0,2,4,2,B01
202000000017,3,30,,8,0,3,1,A01
202000000018,3,7,,0,2,6,1,A01
202000000018,3,7,,0,2,1,1,B01
202000000019,1,7,,13,0,2,1,A01
202000000020,3,10,,0,2,1,19,A01
202000000020,3,10,,0,2,0,1,B01
202000000021,3,99,,0,1,0,26,Z01
202000000022,3,31,,1,0,8,1,A01
202000000023,0,10,,8,0,0,0,A01
202000000024,1,7,,0,2,1,2,Z01
202000000024,1,32,,0,2,4,2,A01
202000000025,2,7,,0,2,1,2,A01
202000000025,2,7,,0,0,4,2,B01
202000000026,0,33,,0,2,1,15,B01
202000000026,0,7,,0,2,3,15,A01
202000000027,1,31,,0,2,1,17,A01
202000000027,3,10,,0,2,0,0,B01
202000000028,1,10,,0,1,3,1,A01
202000000029,1,43,,0,0,7,1,A01
202000000030,3,30,,0,2,1,1,A01
202000000030,3,7,,0,2,6,1,B01
202000000031,1,1,,0,2,8,19,A01
202000000031,1,7,,0,2,1,1,B01
202000000032,0,2,,0,2,7,16,Z01
202000000032,2,1,,0,2,8,1,B01
202000000033,2,7,,0,1,4,4,A01
202000000034,2,50,,0,0,1,1,A01
202000000035,2,1,,0,2,5,12,A01
202000000035,2,7,,0,2,3,7,B01
202000000036,2,7,,0,2,3,9,A01
202000000036,2,30,,0,2,1,1,B01
202000000037,2,7,,0,2,2,2,A01
202000000037,2,7,,0,2,3,2,B01
202000000038,2,33,,0,2,1,1,B01
202000000038,2,7,,0,2,3,15,A01
202000000039,2,7,,0,2,2,17,B01
202000000039,2,7,,0,2,6,15,A01
202000000040,3,7,,0,9,1,26,A01
202000000040,3,7,,12,1,0,26,B01
202000000041,3,7,,0,1,6,16,A01
202000000042,3,33,,0,2,8,3,B01
202000000042,3,7,,0,2,0,0,A01
202000000043,1,32,,0,2,4,23,B01
202000000043,1,7,,0,2,1,2,A01
202000000044,-1,7,,1,0,1,1,A01
202000000045,-1,7,,0,2,1,26,A01
202000000045,-1,7,,0,2,1,1,C01
202000000045,-1,7,,0,0,4,2,B01
202000000046,3,7,,0,2,1,2,A01
202000000046,3,7,,0,2,9,2,B01
202000000047,1,32,,8,0,1,14,A01
202000000048,1,7,,0,2,3,0,A01
202000000048,2,7,,0,2,3,0,B01
202000000049,0,31,,0,2,1,15,A01
202000000049,0,7,,0,2,1,15,B01
202000000050,2,7,,0,1,6,23,B01
202000000050,2,7,,0,1,6,1,A01
202000000051,1,7,,0,1,8,1,A01
202000000052,1,7,,0,2,8,1,B01
202000000052,2,33,,0,2,3,1,A01
202000000053,1,33,,0,9,2,26,A01
202000000054,0,2,,1,0,1,14,A01
202000000055,2,7,,0,1,3,1,A01
202000000056,2,7,,13,0,2,1,A01
202000000057,3,7,,17,0,2,0,A01
202000000058,1,7,,6,0,7,1,A01
202000000059,2,7,,0,2,3,1,A01
202000000059,2,1,,0,1,2,1,B01
202000000060,1,33,,13,0,1,1,A01
202000000061,1,7,,15,0,9,1,A01
202000000062,1,33,,0,2,1,1,B01
202000000062,1,7,,0,2,2,15,A01
202000000063,0,10,,0,2,5,4,C01
202000000063,3,7,,0,2,1,2,A01
202000000063,3,7,,0,0,4,23,B01
202000000064,3,7,,0,2,4,26,A01
202000000064,3,7,,0,0,1,1,B01
202000000065,0,33,,13,0,0,0,A01
202000000066,3,30,,12,0,1,0,A01
202000000067,2,7,,0,9,3,1,A01
202000000067,1,1,,0,2,7,1,B01
202000000068,2,7,,7,0,7,14,A01
202000000069,0,7,,12,2,3,1,A01
202000000069,0,7,,12,2,2,1,B01
202000000070,0,2,,13,0,1,1,A01
202000000071,2,7,,1,0,1,1,A01
202000000072,1,7,,0,0,9,1,A01
202000000073,1,7,,0,2,8,1,A01
202000000073,1,7,,0,2,1,1,B01
202000000073,2,33,,0,2,8,13,C01
202000000073,2,33,,0,0,0,1,D01
202000000074,1,7,,0,2,2,1,A01
202000000074,2,7,,0,2,3,15,B01
202000000075,1,15,,0,2,5,17,A01
202000000075,1,1,,12,2,8,2,B01
202000000076,3,10,,0,0,0,19,A01
202000000076,3,1,,0,0,0,1,B01
202000000077,1,7,,6,0,3,16,A01
202000000078,1,7,,3,0,0,13,A01
202000000079,2,7,,0,0,0,0,A01
202000000080,1,10,,0,0,4,2,B01
202000000080,1,7,,3,2,1,2,A01
202000000081,2,7,,0,2,2,17,A01
202000000081,1,10,,0,2,3,1,B01
202000000082,1,2,,12,0,1,15,A01
202000000083,1,7,,2,0,3,13,A01
202000000084,2,7,,0,2,5,17,A01
202000000084,2,2,,0,2,3,1,B01
202000000085,1,7,,0,2,3,1,B01
202000000085,2,7,,11,2,3,1,A01
202000000086,1,33,,12,0,1,1,A01
202000000087,1,7,,0,1,2,14,A01
202000000088,1,7,,6,0,2,1,A01
202000000089,0,7,,0,2,3,1,B01
202000000089,0,7,,0,2,3,13,A01
202000000090,1,7,,13,0,3,1,A01
202000000091,2,7,,0,0,0,1,A01
202000000092,2,7,,0,2,4,1,B01
202000000092,2,7,,0,2,1,1,A01
202000000093,1,33,,0,2,1,3,B01
202000000093,1,7,,0,2,4,12,A01
202000000094,1,7,,12,0,1,2,A01
202000000095,2,34,,0,2,8,18,A01
202000000095,2,7,,0,2,2,1,B01
202000000096,1,7,,0,2,6,1,B01
202000000096,1,7,,0,2,9,0,A01
202000000096,1,7,,0,2,2,1,C01
202000000097,2,7,,3,0,1,13,A01
202000000098,1,33,,0,2,8,3,B01
202000000098,1,10,,0,2,5,12,A01
202000000099,2,33,,0,2,1,3,A01
202000000099,2,7,,0,2,5,1,B01
202000000100,2,7,,0,2,7,1,B01
202000000100,2,7,,0,2,3,9,A01
202000000101,2,7,,0,2,5,15,B01
202000000101,1,34,,0,2,2,1,A01
202000000102,3,7,,8,0,2,14,A01
202000000103,3,7,,0,2,1,15,B01
202000000103,1,10,,0,2,5,1,A01
202000000104,1,7,,2,0,1,5,A01
202000000104,2,7,,0,2,0,5,B01
202000000105,3,7,,0,1,1,1,A01
202000000106,3,7,,0,2,1,1,A01
202000000106,3,7,,0,2,1,1,B01
202000000107,2,7,,0,2,3,15,B01
202000000107,2,33,,0,2,2,13,A01
202000000108,1,7,,6,0,1,13,A01
202000000109,3,1,,0,2,1,1,B01
202000000109,2,7,,0,2,2,1,A01
202000000110,1,7,,0,2,1,1,A01
202000000110,2,7,,0,2,3,1,B01
202000000111,1,33,,0,2,1,1,B01
202000000111,1,7,,0,2,5,19,A01
202000000112,1,7,,0,2,6,24,C01
202000000112,2,7,,1,2,2,1,B01
202000000112,1,7,,0,2,7,15,A01
202000000113,1,14,,0,0,7,1,A01
202000000114,2,7,,0,2,1,15,A01
202000000114,2,33,,0,2,2,17,B01
202000000115,1,7,,0,2,2,15,A01
202000000115,1,33,,0,2,1,1,B01
202000000116,1,2,,0,0,7,16,A01
202000000117,3,7,,0,1,1,26,A01
202000000118,0,7,,0,2,1,9,A01
202000000118,0,10,,0,2,7,1,B01
202000000119,3,7,,0,2,1,9,A01
202000000119,3,33,,0,2,0,0,B01
202000000120,1,7,,0,2,8,13,A01
202000000120,1,33,,0,2,7,2,B01
202000000121,3,10,,0,2,3,9,A01
202000000121,3,32,,0,2,7,1,B01
202000000122,2,7,,0,2,1,1,A01
202000000122,3,1,,0,2,1,19,Y01
202000000123,2,10,,0,2,2,9,A01
202000000123,1,7,,0,2,1,1,B01
202000000124,1,7,,0,2,3,19,A01
202000000124,1,2,,0,2,1,1,B01
202000000125,3,7,,0,2,1,13,A01
202000000125,3,7,,0,2,1,1,B01
202000000126,3,1,,0,2,7,1,B01
202000000126,1,7,,0,9,1,1,A01
202000000127,1,7,,0,1,1,1,A01
202000000128,0,7,,0,2,3,1,B01
202000000128,0,7,,0,2,2,15,A01
202000000129,0,7,,0,1,4,4,A01
202000000130,1,38,1.0,0,1,2,15,A01
202000000131,3,7,,0,2,2,26,A01
202000000131,3,7,,0,2,1,26,B01
202000000132,3,7,,0,1,1,1,A01
202000000133,2,7,,0,2,4,2,B01
202000000133,1,7,,0,2,1,1,A01
202000000134,3,40,,0,2,7,1,B01
202000000134,1,10,,0,-1,1,1,A01
202000000135,3,7,,0,9,3,15,B01
202000000135,3,30,,0,2,2,17,A01
202000000136,1,7,,0,2,6,2,B01
202000000136,1,7,,0,2,2,2,A01
202000000137,1,30,,0,1,1,17,A01
202000000138,1,10,,0,1,2,1,A01
202000000139,1,10,,0,2,1,26,A01
202000000139,0,30,,0,2,1,1,B01
202000000140,1,7,,0,2,4,2,B01
202000000140,1,7,,0,2,1,2,A01
202000000140,1,7,,0,2,4,2,C01
202000000140,1,7,,0,2,4,2,D01
202000000141,1,7,,0,2,1,2,A01
202000000141,1,7,,0,2,4,23,B01
202000000142,2,3,,1,1,7,1,A01
202000000143,3,7,,0,0,0,0,B01
202000000143,3,7,,1,0,1,26,A01
202000000144,2,33,,0,2,8,1,A01
202000000144,1,7,,0,2,8,15,B01
202000000145,1,7,,0,2,2,2,A01
202000000145,1,7,,0,2,6,1,B01
202000000146,1,7,,15,0,1,1,A01
202000000147,1,7,,0,1,1,1,A01
202000000148,1,7,,12,0,1,1,A01
202000000149,2,7,,14,0,4,0,B01
202000000149,2,7,,0,2,1,2,A01
202000000150,1,7,,0,2,1,1,A01
202000000150,2,7,,0,2,1,15,B01
202000000151,2,10,,0,2,1,1,D01
202000000151,2,7,,0,2,5,16,C01
202000000151,1,13,,0,2,1,1,B01
202000000151,2,7,,0,2,3,1,A01
202000000152,2,1,,0,0,4,0,A01
202000000153,2,7,,15,0,1,0,A01
202000000154,3,14,,16,0,8,16,A01
202000000155,2,32,,0,2,1,13,B01
202000000155,1,7,,0,2,3,1,A01
202000000156,0,7,,2,0,1,1,A01
202000000157,1,7,,0,2,3,1,C01
202000000157,2,33,,0,2,1,1,B01
202000000157,1,7,,0,2,5,15,A01
202000000158,2,7,,0,2,1,1,C01
202000000158,1,7,,0,2,1,13,A01
202000000158,2,7,,0,2,6,1,B01
202000000159,2,7,,0,2,3,17,A01
202000000159,1,33,,0,2,1,17,B01
202000000160,3,33,,0,2,2,1,B01
202000000160,3,7,,0,2,3,26,A01
202000000161,2,33,,0,2,1,2,A01
202000000161,2,7,,0,2,6,2,B01
202000000162,2,30,,0,0,0,2,A01
202000000163,1,17,,0,1,3,15,A01
202000000164,1,7,,0,2,3,9,A01
202000000164,2,1,,0,2,7,26,B01
202000000165,1,7,,0,1,8,17,A01
202000000166,1,7,,0,1,1,1,A01
202000000167,2,7,,0,2,8,15,A01
202000000167,2,7,,7,2,1,17,B01
202000000168,1,7,,2,0,5,14,A01
202000000169,2,7,,0,2,4,1,D01
202000000169,2,7,,0,2,4,2,C01
202000000169,2,7,,0,2,4,2,B01
202000000169,2,7,,0,2,1,2,A01
202000000170,2,7,,4,0,1,13,A01
202000000171,2,17,,0,2,2,14,A01
202000000171,2,17,,0,2,4,1,C01
202000000171,2,10,,0,2,0,1,B01
202000000172,1,33,,0,0,8,2,A01
202000000173,1,7,,0,2,4,0,A01
202000000173,-1,13,,-1,2,-1,-1,B01
202000000174,1,15,,0,2,1,1,C01
202000000174,1,7,,0,2,1,1,A01
202000000174,1,7,,0,2,6,11,B01
202000000175,2,20,,0,2,1,1,A01
202000000175,2,7,,0,2,4,2,B01
202000000175,2,10,,0,2,4,2,C01
202000000176,2,7,,0,2,4,11,A01
202000000176,2,33,,0,2,1,3,B01
202000000177,1,7,,0,2,1,9,A01
202000000178,2,7,,0,2,6,11,A01
202000000178,2,33,,0,2,1,3,B01
202000000179,2,31,,0,2,0,3,A01
202000000179,2,7,,0,2,0,12,B01
202000000180,2,7,,0,2,4,23,B01
202000000180,2,7,,0,2,1,1,A01
202000000180,2,1,,0,2,8,19,C01
202000000181,1,7,,0,2,1,12,A01
202000000181,1,7,,0,2,0,0,B01
202000000182,3,7,,0,1,1,21,A01
202000000183,3,7,,0,2,1,19,A01
202000000183,3,7,,0,2,7,19,B01
202000000184,1,7,,0,2,3,11,B01
202000000184,1,2,,0,2,2,1,A01
202000000185,3,7,,13,0,3,0,A01
202000000186,3,7,,0,2,1,19,B01
202000000186,3,50,,0,2,2,15,A01
202000000187,3,99,,0,2,7,9,A01
202000000187,3,7,,9,9,1,18,B01
202000000188,1,7,,0,2,2,16,B01
202000000188,1,30,,0,2,3,16,A01
202000000189,1,1,,0,2,1,2,E01
202000000189,1,1,,0,2,1,1,B01
202000000189,1,1,,0,2,1,2,C01
202000000189,1,1,,0,2,1,1,D01
202000000189,1,1,,0,2,1,1,A01
202000000190,1,7,,0,2,8,1,B01
202000000190,1,7,,0,2,7,14,A01
202000000191,3,7,,0,2,4,2,B01
202000000191,3,7,,0,2,1,2,A01
202000000192,1,7,,0,2,6,23,B01
202000000192,1,7,,0,2,2,21,A01
202000000193,1,7,,0,2,1,1,A01
202000000193,1,7,,0,2,7,1,B01
202000000194,1,33,,0,2,1,17,B01
202000000194,2,7,,0,2,6,1,A01
202000000195,0,7,,0,2,1,1,A01
202000000195,0,7,,0,2,4,0,B01
202000000196,1,7,,0,2,4,1,B01
202000000196,1,32,,0,2,1,26,A01
202000000197,2,7,,0,2,1,17,Z01
202000000197,1,1,,0,2,0,1,A01
202000000198,3,7,,8,0,0,1,A01
202000000199,1,7,,0,9,8,0,Z01
202000000199,1,60,,0,2,1,15,B01
202000000200,3,10,,0,1,4,4,A01
202000000201,1,2,,0,2,7,17,A01
202000000201,1,7,,0,2,8,15,B01
202000000202,2,7,,0,1,0,1,A01
202000000203,2,33,,0,2,7,1,B01
202000000203,2,7,,0,2,1,1,A01
202000000204,2,32,,0,0,7,1,A01
202000000205,2,32,,0,2,8,3,B01
202000000205,2,7,,0,2,7,12,A01
202000000205,2,7,,0,2,6,1,C01
202000000206,1,33,,0,2,7,3,C01
202000000206,1,32,,0,2,7,3,B01
202000000206,1,7,,0,2,3,11,A01
202000000207,2,7,,0,2,0,1,A01
202000000207,2,50,,0,2,7,1,B01
202000000208,1,7,,0,2,4,23,A01
202000000208,1,7,,0,2,4,23,B01
202000000208,1,7,,0,2,1,2,Z01
202000000209,1,7,,0,1,0,1,Z01
202000000210,1,10,,0,2,1,1,Z01
202000000210,1,50,,0,2,3,1,A01
202000000211,1,30,,14,0,1,13,A01
202000000212,2,10,,0,1,4,20,A01
202000000213,2,7,,0,2,2,1,B01
202000000213,1,1,,0,2,1,1,A01
202000000214,1,1,,0,2,1,1,A01
202000000214,1,1,,0,2,4,1,Z01
202000000215,1,43,,12,0,3,16,A01
202000000216,1,1,,0,0,1,12,A01
202000000217,1,7,,0,0,1,1,A01
202000000217,2,7,,0,0,7,15,B01
202000000218,1,1,,0,2,8,26,B01
202000000218,1,7,,0,2,2,12,A01
202000000219,1,7,,1,0,2,26,A01
202000000220,3,7,,0,9,1,26,A01
202000000220,3,1,,0,2,7,26,B01
202000000221,2,7,,0,2,1,1,B01
202000000221,2,7,,0,2,5,15,A01
202000000222,1,7,,0,1,1,1,A01
202000000223,1,7,,0,2,3,1,B01
202000000223,2,37,1.0,0,2,3,1,C01
202000000223,1,7,,0,2,2,9,A01
202000000224,0,7,,0,2,8,1,B01
202000000224,0,7,,0,2,1,5,A01
202000000225,2,1,,0,2,2,1,B01
202000000225,1,1,,0,2,3,9,A01
202000000226,2,7,,0,2,2,15,B01
202000000226,1,30,,0,2,3,1,A01
202000000227,1,33,,0,0,8,1,A01
202000000228,2,31,,0,0,0,0,A01
202000000228,2,7,,14,0,1,12,B01
202000000229,2,33,,0,2,1,17,A01
202000000229,2,7,,0,0,6,15,B01
202000000230,1,10,,0,2,7,15,B01
202000000230,2,2,,0,2,1,1,A01
202000000231,1,10,,0,2,3,1,B01
202000000231,2,7,,0,2,3,13,A01
202000000232,1,7,,0,2,2,2,B01
202000000232,1,7,,0,0,4,1,A01
202000000233,1,7,,0,2,1,1,B01
202000000233,2,33,,0,2,1,5,A01
202000000234,2,2,,0,2,1,2,A01
202000000234,2,7,,0,0,5,2,B01
202000000235,2,33,,0,2,3,26,B01
202000000235,2,7,,0,0,6,15,A01
202000000236,1,7,,0,0,8,1,A01
202000000236,2,7,,0,0,8,1,B01
202000000237,2,21,,0,0,0,1,B01
202000000237,2,1,,0,0,0,0,A01
202000000238,1,7,,14,0,7,17,A01
202000000239,1,7,,2,0,1,1,A01
202000000240,3,33,,0,2,2,19,A01
202000000240,1,10,,0,2,8,21,B01
202000000241,2,7,,0,0,1,1,B01
202000000241,1,2,,0,2,1,13,A01
202000000242,1,1,,6,0,7,1,A01
202000000243,2,7,,0,2,7,26,A01
202000000243,1,1,,0,2,1,1,B01
202000000244,2,32,,1,0,7,2,A01
202000000245,1,7,,6,0,1,1,A01
202000000246,1,10,,0,2,6,1,B01
202000000246,2,7,,0,2,3,13,A01
202000000247,2,31,,13,0,1,1,A01
202000000248,1,7,,13,0,2,14,A01
202000000249,3,33,,0,6,1,21,A01
202000000250,2,7,,2,0,7,21,A01
202000000251,2,7,,0,1,1,1,A01
202000000252,1,7,,10,0,1,13,A01
202000000253,1,33,,1,0,1,1,A01
202000000254,1,7,,2,0,5,1,A01
202000000255,1,7,,0,2,1,1,B01
202000000255,2,7,,0,2,3,15,A01
202000000256,2,7,,0,2,1,1,B01
202000000256,1,7,,0,2,1,15,A01
202000000257,2,7,,0,2,3,0,B01
202000000257,1,7,,0,2,3,13,A01
202000000258,2,33,,15,0,9,1,A01
202000000259,2,7,,13,0,9,0,A01
202000000260,1,10,,17,0,1,1,A01
202000000261,3,31,,0,0,5,15,B01
202000000261,1,7,,0,2,3,9,A01
202000000262,2,7,,3,2,8,19,A01
202000000262,1,7,,0,2,1,1,B01
202000000263,3,31,,0,0,3,1,A01
202000000264,1,1,,0,0,8,2,B01
202000000264,1,7,,0,2,7,2,A01
202000000265,3,1,,0,1,1,5,A01
202000000266,0,50,,0,2,7,1,B01
202000000266,0,7,,0,2,1,1,A01
202000000267,1,33,,0,0,8,1,A01
202000000268,3,33,,0,0,7,15,A01
202000000269,2,7,,2,0,1,14,A01
202000000270,2,7,,3,0,9,1,A01
202000000271,1,7,,0,0,7,10,A01
202000000271,2,7,,0,2,1,1,B01
202000000272,1,17,,0,2,3,1,B01
