Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
200800000001,0,7,0,0,1,1,1,A01
200800000002,0,7,0,0,0,0,0,A01
200800000003,0,7,0,0,2,3,19,A01
200800000003,0,2,0,0,2,6,1,B02
200800000004,0,1,0,0,0,4,1,A01
200800000004,0,1,0,0,0,0,1,B02
200800000005,0,7,0,0,2,7,15,A01
200800000005,0,31,0,0,2,1,1,B02
200800000006,0,7,0,0,2,3,19,A01
200800000006,0,7,0,0,2,8,16,B02
200800000007,0,7,0,0,2,3,1,B02
200800000007,0,7,0,0,2,8,9,A01
200800000008,0,33,0,11,0,0,1,A01
200800000009,0,1,0,0,0,0,2,A01
200800000010,0,7,0,0,0,1,14,A01
200800000011,0,30,0,0,0,8,1,A01
200800000012,0,2,0,0,0,7,1,A01
200800000013,0,7,0,0,2,3,1,A01
200800000013,0,7,0,6,2,2,9,B02
200800000014,0,7,0,0,2,3,13,A01
200800000014,0,32,0,0,2,1,13,B02
200800000015,0,7,0,0,2,1,13,A01
200800000015,0,7,0,0,2,3,1,B02
200800000016,0,7,0,0,2,2,17,A01
200800000016,0,7,0,6,0,6,1,B02
200800000017,0,7,0,0,2,3,15,A01
200800000017,0,2,0,0,2,1,1,B02
200800000018,0,7,0,0,2,3,13,A01
200800000018,0,7,0,0,0,3,1,B02
200800000018,0,17,0,0,0,3,1,C03
200800000019,0,7,0,0,2,3,13,A01
200800000019,0,7,0,0,2,8,0,B02
200800000020,0,7,0,0,2,3,1,A01
200800000020,0,7,0,0,2,3,1,B02
200800000021,0,7,0,0,2,3,13,A01
200800000021,0,7,0,0,2,8,1,B02
200800000021,0,7,0,0,2,2,1,C03
200800000021,0,7,0,0,2,1,1,D04
200800000022,0,17,0,13,0,1,13,A01
200800000023,0,7,0,0,2,7,1,A01
200800000023,0,17,0,0,2,1,1,B02
200800000023,0,7,0,0,2,1,1,C03
200800000024,0,31,0,0,2,7,1,A01
200800000024,0,7,0,0,2,1,19,B02
200800000025,0,14,0,6,0,1,1,A01
200800000026,0,7,0,2,0,7,1,A01
200800000027,0,7,0,0,2,1,1,A01
200800000027,0,3,0,0,2,1,1,B02
200800000027,0,7,0,0,2,1,1,C03
200800000028,0,7,0,1,0,1,1,A01
200800000028,0,7,0,0,0,1,23,B02
200800000029,0,7,0,6,0,3,13,A01
200800000030,0,7,0,0,2,2,2,A01
200800000030,0,7,0,0,2,1,2,B02
200800000031,0,2,0,0,0,0,1,A01
200800000032,0,7,0,0,2,1,15,A01
200800000032,0,31,0,0,2,8,1,B02
200800000033,0,7,0,8,0,2,13,A01
200800000034,0,33,0,0,2,8,13,A01
200800000034,0,21,0,0,2,8,1,B02
200800000035,0,7,0,3,0,1,13,A01
200800000036,0,38,0,0,1,7,20,A01
200800000037,0,7,0,2,2,3,1,A01
200800000037,0,7,0,0,2,3,1,B02
200800000038,0,30,0,0,0,0,15,A01
200800000039,0,38,0,2,0,1,15,A01
200800000040,0,33,0,3,0,8,1,A01
200800000041,0,7,0,0,2,5,15,A01
200800000041,0,2,0,0,2,1,1,B02
200800000042,0,7,0,13,0,9,1,A01
200800000043,0,2,0,0,2,1,1,A01
200800000043,0,7,0,0,2,5,15,B02
200800000044,0,7,0,0,2,3,1,A01
200800000044,0,7,0,0,2,3,1,B02
200800000045,0,7,0,0,1,1,1,A01
200800000046,0,15,0,6,0,1,1,A01
200800000047,0,7,0,0,1,2,1,A01
200800000048,0,30,0,0,2,1,1,A01
200800000048,0,7,0,0,2,3,1,B02
200800000049,0,7,0,2,0,7,1,A01
200800000050,0,7,0,0,1,2,1,A01
200800000051,0,7,0,13,0,1,1,A01
200800000052,0,7,0,0,2,3,6,A01
200800000052,0,33,0,0,2,1,1,B02
200800000053,0,30,0,0,2,3,13,A01
200800000053,0,7,0,0,2,3,1,B02
200800000054,0,7,0,0,1,1,1,A01
200800000055,0,7,0,0,2,3,15,A01
200800000055,0,33,0,0,2,1,1,B02
200800000056,0,7,0,8,0,3,1,A01
200800000057,0,7,0,0,2,1,1,A01
200800000057,0,7,0,0,2,3,19,B02
200800000058,0,7,0,2,0,3,1,A01
200800000059,0,7,0,0,2,2,17,A01
200800000059,0,7,0,0,2,3,15,B02
200800000060,0,7,0,13,0,2,1,A01
200800000061,0,7,0,0,1,3,15,A01
200800000062,0,7,0,2,0,2,1,A01
200800000063,0,7,0,0,2,2,19,A01
200800000063,0,30,0,0,2,1,16,B02
200800000064,0,7,0,0,0,2,17,A01
200800000064,0,1,0,0,0,8,13,B02
200800000065,0,7,0,0,2,1,17,A01
200800000065,0,33,0,0,2,1,0,B02
200800000066,0,7,0,0,2,3,13,A01
200800000066,0,7,0,0,2,3,1,B02
200800000066,0,7,0,0,2,2,1,C03
200800000067,0,33,0,0,2,5,2,A01
200800000067,0,7,0,0,2,6,2,B02
200800000067,0,7,0,0,9,1,1,C03
200800000068,0,7,0,8,0,3,14,A01
200800000069,0,10,0,0,2,3,11,A01
200800000069,0,10,0,0,2,3,1,B02
200800000070,0,33,0,6,0,1,15,A01
200800000071,0,7,0,16,0,9,1,A01
200800000072,0,7,0,0,1,2,1,A01
200800000073,0,7,0,0,1,2,1,A01
200800000074,0,10,0,6,0,3,16,A01
200800000075,0,7,0,0,2,7,19,A01
200800000075,0,7,0,0,2,1,1,B02
200800000076,0,15,0,0,0,7,14,A01
200800000077,0,7,0,16,0,9,14,A01
200800000078,0,7,0,0,2,1,19,A01
200800000078,0,7,0,0,2,2,1,B02
200800000079,0,7,0,0,2,8,13,A01
200800000079,0,7,0,0,2,2,1,B02
200800000080,0,7,0,0,2,1,1,A01
200800000080,0,10,0,0,2,9,1,B02
200800000081,0,7,0,0,0,1,13,A01
200800000081,0,7,0,0,0,1,1,B02
200800000082,0,7,0,13,0,3,6,A01
200800000083,0,2,0,12,0,3,13,A01
200800000084,0,10,0,0,2,3,19,A01
200800000084,0,7,0,0,2,7,1,B02
200800000085,0,7,0,13,0,1,1,A01
200800000086,0,7,0,0,2,3,2,A01
200800000086,0,7,0,0,2,4,15,B02
200800000086,0,7,0,0,2,1,0,C03
200800000087,0,7,0,0,0,0,13,A01
200800000088,0,7,0,13,0,9,0,A01
200800000089,0,7,0,0,2,3,1,A01
200800000089,0,31,0,0,2,1,1,B02
200800000090,0,30,0,14,0,1,1,A01
200800000091,0,10,0,0,0,9,1,A01
200800000092,0,7,0,0,2,3,9,A01
200800000092,0,30,0,0,2,7,9,B02
200800000093,0,7,0,13,0,1,1,A01
200800000094,0,7,0,0,2,3,1,B02
200800000094,0,7,0,0,2,2,1,A01
200800000095,0,7,0,0,2,3,9,A01
200800000095,0,1,0,0,2,1,15,B02
200800000096,0,7,0,6,0,1,13,A01
200800000097,0,7,0,0,2,3,1,A01
200800000097,0,7,0,0,2,4,15,B02
200800000097,0,7,0,0,2,1,1,C03
200800000098,0,7,0,0,2,2,6,A01
200800000098,0,7,0,0,2,8,1,B02
200800000099,0,14,0,0,2,3,13,A01
200800000099,0,14,0,0,2,3,1,B02
200800000100,0,7,0,8,0,1,1,A01
200800000101,0,7,0,0,2,2,1,A01
200800000101,0,7,0,0,2,3,9,B02
200800000102,0,7,0,16,0,0,1,A01
200800000103,0,7,0,0,2,2,1,A01
200800000103,0,7,0,0,2,3,13,B02
