Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,gps,lat,long,dep
201700000001,17,1,11,1820,5,2,1,1.0,1.0,59477,M,5051326.0,292191.0,59
201700000002,17,2,13,1630,1,2,3,1.0,3.0,59005,M,5053611.0,295314.0,59
201700000003,17,3,7,1150,1,2,9,1.0,5.0,59052,M,5052174.0,288786.0,59
201700000004,17,4,22,1300,1,2,1,1.0,6.0,59005,M,5053723.0,295700.0,59
201700000005,17,5,20,1230,1,2,1,1.0,2.0,59011,M,5052999.0,293798.0,59
201700000006,17,5,30,1400,1,1,1,1.0,7.0,59005,M,5054956.0,294679.0,59
201700000007,17,6,30,2140,1,2,1,1.0,3.0,59477,M,5051159.0,290832.0,59
201700000008,17,7,7,1740,1,2,1,1.0,1.0,59477,M,5050902.0,291391.0,59
201700000009,17,12,21,830,1,1,1,2.0,6.0,59005,M,5055120.0,294735.0,59
201700000010,17,6,29,620,2,1,6,1.0,7.0,59250,M,5059231.0,289663.0,59
201700000011,17,7,7,1715,1,2,9,1.0,6.0,59051,M,5053167.0,280677.0,59
201700000012,17,9,24,1638,1,1,1,1.0,7.0,59524,M,5057954.0,290483.0,59
201700000013,17,11,30,715,2,1,1,2.0,1.0,59257,M,5062351.0,285818.0,59
201700000014,17,12,17,1630,3,1,1,2.0,1.0,59524,M,5058064.0,290676.0,59
201700000015,17,1,5,605,5,1,1,1.0,7.0,59586,M,5051584.0,315609.0,59
201700000016,17,3,17,800,1,2,1,1.0,5.0,59256,M,5057672.0,311491.0,59
201700000017,17,5,10,940,1,2,1,1.0,6.0,59586,M,5052733.0,317197.0,59
201700000018,17,6,20,1410,1,1,3,7.0,3.0,59034,M,5053136.0,309178.0,59
201700000019,17,8,9,745,1,1,6,1.0,3.0,59034,M,5054769.0,310034.0,59
201700000020,17,9,26,845,1,1,1,1.0,6.0,59256,M,5055176.0,311011.0,59
201700000021,17,9,25,815,1,1,2,1.0,5.0,59129,M,5049627.0,319113.0,59
201700000022,17,12,27,1200,1,1,2,1.0,3.0,59586,M,5054129.0,318902.0,59
201700000023,17,9,16,1855,1,2,1,1.0,3.0,59452,M,5045836.0,302395.0,59
201700000024,17,1,26,2250,3,1,1,1.0,6.0,59084,M,5068507.0,237248.0,59
201700000025,17,4,11,1115,1,1,1,1.0,6.0,59578,M,5068300.0,249978.0,59
201700000026,17,4,10,1545,1,2,2,1.0,3.0,59308,M,5075677.0,252148.0,59
201700000027,17,7,16,2220,3,1,1,1.0,6.0,59416,M,5068343.0,251129.0,59
201700000028,17,8,5,955,1,2,3,1.0,3.0,59084,M,5069467.0,240615.0,59
201700000029,17,9,21,1830,1,1,1,1.0,6.0,59084,M,5068572.0,237300.0,59
201700000030,17,10,3,710,5,2,1,1.0,6.0,59416,M,5069162.0,251553.0,59
201700000031,17,10,3,1600,1,1,3,1.0,2.0,59308,M,5076191.0,255746.0,59
201700000032,17,10,22,1030,1,1,1,1.0,2.0,59084,M,5066416.0,239435.0,59
201700000033,17,11,1,1900,3,1,1,1.0,6.0,59634,M,5073443.0,247076.0,59
201700000034,17,11,24,1745,5,2,1,3.0,1.0,59582,M,5070965.0,263167.0,59
201700000035,17,3,11,1300,1,1,1,1.0,1.0,59535,M,5077746.0,271529.0,59
201700000036,17,4,3,1730,1,1,1,1.0,6.0,59401,M,5075502.0,269959.0,59
201700000037,17,4,17,1732,1,1,1,1.0,6.0,59401,M,5076598.0,266664.0,59
201700000038,17,7,7,2044,1,1,3,1.0,6.0,59086,M,5078720.0,273169.0,59
201700000039,17,10,24,715,5,1,1,2.0,6.0,59535,M,5077746.0,271529.0,59
201700000040,17,2,27,1415,1,1,1,6.0,6.0,59581,M,5066313.0,276251.0,59
201700000041,17,3,2,1645,1,2,9,1.0,6.0,59212,M,5064781.0,271953.0,59
201700000042,17,3,7,805,1,2,1,1.0,6.0,59268,M,5063688.0,273420.0,59
201700000043,17,4,15,1135,1,2,1,1.0,6.0,59212,M,5064736.0,272026.0,59
201700000044,17,4,30,1325,1,2,1,1.0,3.0,59180,M,5068232.0,271895.0,59
201700000045,17,5,27,1100,1,2,6,1.0,6.0,59268,M,5064103.0,272270.0,59
201700000046,17,7,4,1630,1,1,1,1.0,1.0,59268,M,5064883.0,276072.0,59
201700000047,17,7,19,2000,1,2,1,1.0,6.0,59268,M,5063752.0,272664.0,59
201700000048,17,11,6,730,2,1,1,1.0,6.0,59212,M,5064247.0,270457.0,59
201700000049,17,12,1,1810,3,1,1,9.0,6.0,59581,M,5069756.0,275167.0,59
201700000050,17,2,17,1705,1,2,1,1.0,6.0,59400,M,5064512.0,264696.0,59
201700000051,17,4,15,1820,1,2,1,1.0,6.0,59400,M,5064340.0,263931.0,59
201700000052,17,8,15,1920,1,2,3,1.0,3.0,59400,M,5063681.0,264115.0,59
201700000053,17,10,17,700,5,2,1,8.0,6.0,59293,M,5064282.0,253978.0,59
201700000054,17,12,22,1930,3,1,1,1.0,1.0,59400,M,5062986.0,266636.0,59
201700000055,17,4,22,1845,1,1,4,1.0,1.0,59275,M,5059063.0,322887.0,59
201700000056,17,4,25,1730,1,2,1,1.0,3.0,59124,M,5058957.0,326818.0,59
201700000057,17,7,28,1525,1,2,2,1.0,2.0,59602,M,5061121.0,318819.0,59
201700000058,17,9,23,1445,1,2,3,1.0,1.0,59044,M,5060791.0,327096.0,59
201700000059,17,10,23,1045,1,2,2,8.0,6.0,59044,M,5061457.0,323095.0,59
201700000060,17,10,30,100,3,1,1,2.0,6.0,59044,M,5060838.0,322960.0,59
201700000061,17,12,27,1330,1,2,3,1.0,3.0,59146,M,5061138.0,319851.0,59
201700000062,17,4,4,715,1,2,3,1.0,3.0,59258,M,5053189.0,320942.0,59
201700000063,17,8,6,650,1,2,1,1.0,6.0,59419,M,5052285.0,328103.0,59
201700000064,17,8,26,515,4,2,1,1.0,6.0,59419,M,5051070.0,332461.0,59
201700000065,17,10,31,1030,1,2,3,1.0,4.0,59096,M,5056090.0,323893.0,59
201700000066,17,11,9,1135,1,2,3,1.0,6.0,59258,M,5052745.0,323284.0,59
201700000067,17,12,16,1230,1,1,1,2.0,2.0,59458,M,5056992.0,316904.0,59
201700000068,17,12,27,1330,1,1,1,1.0,6.0,59419,M,5051338.0,331727.0,59
201700000069,17,1,11,645,3,1,1,2.0,6.0,59252,M,5070249.0,293447.0,59
201700000070,17,2,7,1835,5,2,1,2.0,6.0,59482,M,5071607.0,300220.0,59
201700000071,17,4,21,1245,1,1,1,1.0,6.0,59252,M,5069316.0,295514.0,59
201700000072,17,6,6,600,1,2,1,2.0,2.0,59611,M,5067232.0,302002.0,59
201700000073,17,6,17,1930,1,1,1,7.0,3.0,59643,M,5074239.0,296804.0,59
201700000074,17,7,21,710,1,1,1,1.0,6.0,59482,M,5071813.0,302724.0,59
201700000075,17,7,26,1215,1,2,1,1.0,6.0,59611,M,5066410.0,301029.0,59
201700000076,17,9,26,1625,1,1,1,1.0,1.0,59643,M,5074378.0,297032.0,59
201700000077,17,9,27,1250,1,1,6,1.0,3.0,59173,M,5072841.0,296986.0,59
201700000078,17,10,15,1946,5,1,3,1.0,6.0,59173,M,5073014.0,295068.0,59
201700000079,17,2,27,1625,1,2,1,1.0,6.0,59480,M,5029064.0,351383.0,59
201700000080,17,6,4,1645,1,1,1,1.0,6.0,59348,M,5026610.0,335090.0,59
201700000081,17,6,23,1620,1,2,3,1.0,3.0,59092,M,5028209.0,330895.0,59
201700000082,17,7,22,1936,2,1,1,8.0,6.0,59348,M,5027343.0,333219.0,59
201700000083,17,8,7,805,1,1,2,1.0,3.0,59038,M,5026485.0,337870.0,59
201700000084,17,10,5,730,2,1,9,1.0,1.0,59285,M,5026564.0,341198.0,59
201700000085,17,10,27,650,3,2,3,1.0,3.0,59285,M,5026915.0,340890.0,59
201700000086,17,12,1,2300,3,2,1,8.0,6.0,59645,M,5027353.0,325793.0,59
201700000087,17,1,4,1340,1,2,3,2.0,7.0,59233,M,5012847.0,395496.0,59
201700000088,17,1,4,1340,1,2,3,2.0,7.0,59233,M,5012847.0,395496.0,59
201700000089,17,3,11,2000,3,2,1,1.0,7.0,59177,M,5014039.0,385814.0,59
201700000090,17,3,25,1255,1,1,1,1.0,2.0,59177,M,5014152.0,385944.0,59
201700000091,17,5,6,10,5,2,1,1.0,6.0,59036,M,5012336.0,393080.0,59
201700000092,17,6,23,1955,2,2,1,7.0,6.0,59093,M,5005823.0,389344.0,59
201700000093,17,7,2,2140,2,2,1,1.0,1.0,59241,M,5004158.0,389237.0,59
201700000094,17,7,7,1840,1,1,1,1.0,1.0,59188,M,5018440.0,390161.0,59
201700000095,17,8,14,2200,3,1,1,1.0,1.0,59181,M,5017455.0,395168.0,59
201700000096,17,10,21,1715,1,2,1,1.0,6.0,59035,M,5011290.0,394554.0,59
201700000097,17,1,16,1730,5,2,1,1.0,6.0,59249,M,5001572.0,403944.0,59
201700000098,17,3,4,1430,1,2,6,1.0,6.0,59249,M,5001832.0,404941.0,59
201700000099,17,3,22,2030,5,2,6,1.0,1.0,59249,M,5001860.0,405058.0,59
201700000100,17,4,2,550,5,2,1,1.0,6.0,59012,M,4997745.0,409098.0,59
201700000101,17,4,8,1430,1,2,1,1.0,6.0,59659,M,5001929.0,400704.0,59
201700000102,17,4,27,500,2,2,1,1.0,6.0,59249,M,5001650.0,404528.0,59
201700000103,17,4,30,1445,1,1,1,1.0,6.0,59249,M,5002241.0,407515.0,59
201700000104,17,5,6,1725,1,2,4,2.0,3.0,59249,M,5000415.0,405611.0,59
201700000105,17,5,12,2115,3,1,1,3.0,6.0,59249,M,5001422.0,402973.0,59
201700000106,17,6,13,830,1,1,1,7.0,2.0,59659,M,5002676.0,401405.0,59
201700000107,17,8,31,1415,1,2,2,1.0,3.0,59249,M,5001885.0,404452.0,59
201700000108,17,9,30,1430,1,2,1,1.0,3.0,59249,M,5001826.0,404396.0,59
201700000109,17,1,13,2020,3,1,1,2.0,6.0,59430,M,5013210.0,350008.0,59
201700000110,17,1,27,1730,4,2,3,1.0,3.0,59136,M,5009333.0,353527.0,59
201700000111,17,3,31,1910,1,2,2,1.0,6.0,59136,M,5010162.0,353762.0,59
201700000112,17,4,5,1700,1,2,1,1.0,3.0,59430,M,5014391.0,351331.0,59
201700000113,17,4,11,1620,1,1,1,1.0,1.0,59055,M,5009996.0,359892.0,59
201700000114,17,5,31,440,3,1,1,1.0,2.0,59412,M,5012299.0,353938.0,59
201700000115,17,8,13,315,5,2,6,1.0,7.0,59136,M,5009847.0,356726.0,59
201700000116,17,1,19,1215,1,1,3,1.0,2.0,59063,M,5013739.0,339732.0,59
201700000117,17,1,26,1325,1,2,3,1.0,7.0,59139,M,5012196.0,342024.0,59
201700000118,17,1,27,1515,1,1,3,1.0,2.0,59063,M,5014789.0,338291.0,59
201700000119,17,2,9,2145,5,2,2,1.0,2.0,59139,M,5012595.0,341018.0,59
201700000120,17,2,17,2000,5,2,2,1.0,3.0,59139,M,5011798.0,341105.0,59
201700000121,17,2,22,1830,3,2,1,2.0,2.0,59139,M,5013288.0,341713.0,59
201700000122,17,6,12,1700,1,2,3,1.0,6.0,59139,M,5012171.0,340478.0,59
201700000123,17,7,14,1445,1,2,1,1.0,2.0,59139,M,5011141.0,340749.0,59
201700000124,17,8,18,1620,1,2,1,1.0,7.0,59075,M,5013655.0,343445.0,59
201700000125,17,10,26,2030,3,1,1,5.0,3.0,59614,M,5016964.0,346017.0,59
201700000126,17,11,15,530,5,2,1,2.0,6.0,59139,M,5010776.0,339512.0,59
201700000127,17,8,9,40,3,1,1,1.0,7.0,59322,M,5023276.0,334796.0,59
201700000128,17,8,14,1500,1,1,1,1.0,7.0,59300,M,5024760.0,324520.0,59
201700000129,17,10,13,645,2,2,1,1.0,1.0,59322,M,5023487.0,332118.0,59
201700000130,17,1,1,1315,1,2,2,1.0,3.0,59520,M,,,59
201700000131,17,5,27,1600,1,1,1,1.0,6.0,59517,M,5009036.0,322836.0,59
201700000132,17,6,19,700,1,2,1,1.0,6.0,59312,M,5003735.0,319899.0,59
201700000133,17,7,4,1835,1,2,1,1.0,3.0,59520,M,5012708.0,321322.0,59
201700000134,17,8,27,230,3,1,1,1.0,6.0,59500,M,5010774.0,312513.0,59
201700000135,17,10,21,1100,1,1,1,1.0,1.0,59517,M,5007970.0,321552.0,59
201700000136,17,5,10,1350,1,2,1,1.0,6.0,59608,M,5027150.0,351586.0,59
201700000137,17,5,20,2140,5,2,1,1.0,6.0,59571,M,5018159.0,349882.0,59
201700000138,17,8,23,1545,1,2,3,1.0,3.0,59571,M,5019092.0,349871.0,59
201700000139,17,9,6,1045,1,2,3,1.0,6.0,59571,M,5018429.0,349802.0,59
