Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
202100000089,1,7,,0,2,8,1,A01
202100000090,3,60,,0,2,3,19,B01
202100000090,3,7,,0,1,1,1,A01
202100000091,2,7,,0,2,8,1,A01
202100000091,1,31,,0,2,0,13,B01
202100000092,2,7,,0,2,2,1,A01
202100000092,2,2,,0,2,8,19,B01
202100000093,2,7,,0,1,3,19,A01
202100000094,2,7,,3,2,1,14,A01
202100000095,3,3,,1,0,1,0,A01
202100000096,3,7,,0,2,3,9,A01
202100000096,3,50,,0,2,1,0,B01
202100000097,3,3,,0,2,3,19,A01
202100000097,0,2,,0,2,1,0,B01
202100000098,2,7,,0,2,8,19,B01
202100000098,2,10,,0,2,1,1,A01
202100000099,1,7,,0,2,7,18,A01
202100000099,2,10,,0,2,1,1,B01
202100000100,1,7,,0,1,1,2,A01
202100000101,3,1,,14,0,1,1,A01
202100000101,3,1,,14,0,1,1,B01
202100000102,0,2,,16,0,7,14,A01
202100000103,3,7,,0,2,2,1,A01
202100000103,3,30,,0,2,8,9,C01
202100000104,1,7,,0,2,1,1,B01
202100000104,1,7,,0,2,1,13,A01
202100000105,1,10,,0,2,1,1,A01
202100000105,2,7,,0,2,1,1,B01
202100000106,3,7,,0,2,4,23,A01
202100000106,3,7,,0,2,1,2,B01
202100000107,0,10,,0,2,1,11,A01
202100000107,0,1,,0,2,1,1,B01
202100000108,3,1,,12,0,1,14,A01
202100000109,1,7,,17,0,1,1,A01
202100000110,3,7,,0,2,2,1,B01
202100000110,3,30,,0,2,8,13,A01
202100000111,3,7,,0,2,2,15,A01
202100000111,3,2,,0,2,1,26,B01
202100000112,0,7,,0,0,0,1,A01
202100000113,1,7,,10,1,2,2,A01
202100000114,2,7,,0,1,1,1,A01
202100000115,1,7,,0,2,3,13,A01
202100000115,2,7,,0,2,3,1,B01
202100000116,2,7,,0,1,1,1,A01
202100000117,1,7,,0,2,3,19,A01
202100000117,0,10,,0,0,8,2,B01
202100000118,3,2,,0,1,2,17,A01
202100000119,0,7,,0,1,1,1,A01
202100000120,2,7,,0,1,1,1,A01
