Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,gps,lat,long,dep
200900000001,9,1,30,2030,3,1,1,1.0,6,44067,M,0.0,0,44
200900000002,9,1,17,300,3,1,1,1.0,3,44017,M,0.0,0,44
200900000003,9,1,29,645,3,1,1,1.0,3,44052,M,0.0,0,44
200900000004,9,1,4,615,3,1,1,9.0,6,44044,M,0.0,0,44
200900000005,9,1,16,1500,1,1,1,1.0,7,44036,M,0.0,0,44
200900000006,9,1,28,1700,1,1,1,2.0,7,44056,M,0.0,0,44
200900000007,9,1,5,1145,1,1,1,2.0,7,44224,M,0.0,0,44
200900000008,9,1,29,1900,3,1,1,1.0,6,44070,M,4.0,-,44
200900000009,9,1,13,1345,1,2,1,5.0,1,44026,M,0.0,0,44
200900000010,9,1,14,645,3,1,1,9.0,6,44217,M,0.0,0,44
200900000011,9,1,23,1400,1,2,6,1.0,1,44154,M,4.0,-,44
200900000012,9,1,31,1900,3,1,1,1.0,7,44145,M,0.0,0,44
200900000013,9,1,20,745,3,1,1,1.0,6,44114,M,0.0,0,44
200900000014,9,1,20,730,5,2,1,3.0,6,44186,M,0.0,0,44
200900000015,9,1,23,745,2,2,1,9.0,6,44047,M,4.0,-,44
200900000016,9,1,14,845,2,1,1,5.0,1,44118,M,0.0,0,44
200900000017,9,1,24,1800,1,1,1,1.0,3,44056,M,0.0,0,44
200900000018,9,1,1,315,3,1,1,1.0,6,44099,M,0.0,0,44
200900000019,9,1,30,1100,1,1,1,1.0,1,44131,M,0.0,0,44
200900000020,9,1,1,30,5,2,1,1.0,2,75110,M,,,75
200900000021,9,1,18,1859,5,2,2,1.0,3,75108,M,,,75
200900000022,9,1,19,1145,1,2,1,1.0,2,75104,M,,,75
200900000023,9,1,27,2005,5,2,4,1.0,3,75103,M,,,75
200900000024,9,1,23,1520,1,2,3,1.0,3,75115,M,,,75
200900000025,9,1,8,1420,1,2,3,1.0,6,75113,M,,,75
200900000026,9,1,15,1905,5,2,3,1.0,6,75105,M,,,75
200900000027,9,1,26,1116,1,2,1,1.0,6,75119,M,,,75
200900000028,9,1,21,2120,5,2,3,1.0,3,75117,M,,,75
200900000029,9,1,24,1815,5,2,1,1.0,6,75102,M,,,75
200900000030,9,1,8,1630,1,2,2,1.0,3,75115,M,,,75
200900000031,9,1,12,150,4,2,1,1.0,6,75120,M,,,75
200900000032,9,1,5,2120,5,2,5,2.0,3,75119,M,,,75
200900000033,9,1,21,750,2,2,2,1.0,3,75118,M,,,75
200900000034,9,1,29,1600,1,2,2,1.0,2,75109,M,,,75
200900000035,9,1,13,2320,5,2,2,1.0,3,75106,M,,,75
200900000036,9,1,10,1607,1,2,3,1.0,3,75111,M,,,75
200900000037,9,1,23,2055,5,2,1,1.0,2,75105,M,,,75
200900000038,9,1,14,725,3,2,2,2.0,7,75101,M,,,75
200900000039,9,1,26,1420,1,2,1,1.0,3,75107,M,,,75
200900000040,9,1,11,1530,1,2,3,1.0,3,75101,M,,,75
