Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,gps,lat,long,dep
201500000001,15,1,20,1515,1,2,1,1,3,59052,M,0.0,0.0,59
201500000002,15,6,6,2045,1,2,1,1,1,59670,M,5054878.0,291778.0,59
201500000003,15,7,8,745,1,2,1,1,2,59011,M,0.0,0.0,59
201500000004,15,7,22,1945,1,2,1,1,1,59477,M,0.0,0.0,59
201500000005,15,11,13,1415,1,2,1,1,6,59052,M,0.0,0.0,59
201500000006,15,1,28,2015,3,2,1,1,3,59257,M,5060813.0,286792.0,59
201500000007,15,6,4,2245,5,1,1,1,1,59025,M,0.0,0.0,59
201500000008,15,8,1,1945,1,1,1,1,1,59257,M,0.0,0.0,59
201500000009,15,10,1,530,3,1,1,1,3,59025,M,0.0,0.0,59
201500000010,15,3,1,2015,5,2,1,1,1,59256,M,0.0,0.0,59
201500000011,15,4,18,1430,1,1,1,1,3,59586,M,0.0,0.0,59
201500000012,15,5,27,1345,1,2,1,1,1,59256,M,0.0,0.0,59
201500000013,15,6,11,830,1,2,9,7,1,59586,M,0.0,0.0,59
201500000014,15,7,6,100,5,2,3,1,3,59586,M,0.0,0.0,59
201500000015,15,7,7,1745,1,2,1,1,3,59466,M,0.0,0.0,59
201500000016,15,8,16,1,3,1,1,1,6,59586,M,0.0,0.0,59
201500000017,15,3,28,845,1,2,1,2,2,59408,M,0.0,0.0,59
201500000018,15,4,14,1715,1,2,1,1,2,59452,M,0.0,0.0,59
201500000019,15,12,17,1830,4,2,1,1,3,59408,M,0.0,0.0,59
201500000020,15,1,16,2315,3,1,1,2,5,59130,M,5089600.0,223800.0,59
201500000021,15,6,5,1445,1,1,2,1,3,59576,M,5097700.0,231400.0,59
201500000022,15,6,18,2330,3,1,9,1,7,59402,M,0.0,0.0,59
201500000023,15,7,29,1245,1,1,2,1,3,59532,M,0.0,0.0,59
201500000024,15,8,2,1645,1,2,1,1,1,59647,M,5083400.0,221000.0,59
201500000025,15,10,25,1815,5,2,1,1,7,59094,M,5094900.0,219900.0,59
201500000026,15,11,6,1815,3,1,1,2,6,59110,M,0.0,0.0,59
201500000027,15,11,10,1230,1,1,1,1,1,59307,M,5086200.0,221000.0,59
201500000028,15,1,8,1145,1,1,1,3,7,59089,M,0.0,0.0,59
201500000029,15,1,12,2000,3,1,1,2,6,59628,M,0.0,0.0,59
201500000030,15,1,31,1000,1,1,2,7,3,59663,M,0.0,0.0,59
201500000031,15,3,16,730,1,2,1,1,6,59433,M,0.0,0.0,59
201500000032,15,3,16,1830,1,1,1,2,1,59337,M,0.0,0.0,59
201500000033,15,5,23,2300,3,1,1,1,7,59663,M,0.0,0.0,59
201500000034,15,7,3,1445,1,1,1,1,3,59338,M,0.0,0.0,59
201500000035,15,9,27,945,1,1,1,1,1,59210,M,0.0,0.0,59
201500000036,15,10,22,1115,1,2,1,1,1,59663,M,0.0,0.0,59
201500000037,15,10,30,1945,5,2,2,1,3,59210,M,0.0,0.0,59
