Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,gps,lat,long,dep
201000000001,10,6,12,1930,1,2,1,1.0,6.0,59052,M,0.0,0.0,59
201000000002,10,8,7,1000,1,2,1,1.0,6.0,59477,M,5051600.0,292000.0,59
201000000003,10,9,11,1600,1,1,1,1.0,5.0,59011,M,0.0,0.0,59
201000000004,10,9,22,1630,1,2,1,1.0,6.0,59477,M,5051800.0,292500.0,59
201000000005,10,10,25,1215,1,2,1,1.0,2.0,59052,M,5050800.0,289700.0,59
201000000006,10,2,1,745,2,1,1,1.0,4.0,59550,M,0.0,0.0,59
201000000007,10,2,23,1515,1,2,1,1.0,1.0,59051,M,0.0,0.0,59
201000000008,10,5,21,1900,1,1,1,1.0,5.0,59320,M,0.0,0.0,59
201000000009,10,6,28,2300,5,2,1,1.0,6.0,59051,M,0.0,0.0,59
201000000010,10,7,29,615,2,2,2,1.0,5.0,59051,M,5054200.0,281800.0,59
201000000011,10,9,21,1845,1,2,1,1.0,3.0,59524,M,5056100.0,291000.0,59
201000000012,10,10,5,1545,1,2,1,1.0,3.0,59051,M,0.0,0.0,59
201000000013,10,11,5,2000,5,1,6,2.0,6.0,59303,M,0.0,0.0,59
201000000014,10,12,2,945,1,1,1,4.0,3.0,59025,M,5059200.0,282100.0,59
201000000015,10,5,6,1430,1,2,1,1.0,6.0,59586,M,0.0,0.0,59
201000000016,10,6,15,745,1,1,1,1.0,3.0,59197,M,0.0,0.0,59
201000000017,10,7,16,1545,1,2,1,1.0,1.0,59586,M,0.0,0.0,59
201000000018,10,7,26,1815,1,1,1,1.0,3.0,59256,M,0.0,0.0,59
201000000019,10,7,30,1215,1,2,1,1.0,6.0,59256,M,0.0,0.0,59
201000000020,10,10,13,815,1,1,1,1.0,3.0,59034,M,0.0,0.0,59
201000000021,10,10,16,215,5,2,1,2.0,6.0,59586,M,5052900.0,317100.0,59
201000000022,10,10,29,1800,1,1,2,1.0,4.0,59586,M,0.0,0.0,59
201000000023,10,3,9,1800,1,1,1,1.0,6.0,59411,M,5048200.0,311400.0,59
201000000024,10,5,30,1300,1,1,1,1.0,6.0,59592,M,5047300.0,306200.0,59
201000000025,10,9,8,545,3,1,2,3.0,2.0,59452,M,5046900.0,302900.0,59
201000000026,10,2,26,730,1,2,1,1.0,3.0,59159,M,0.0,0.0,59
201000000027,10,4,10,1345,1,1,2,1.0,3.0,59130,M,5091100.0,222300.0,59
201000000028,10,6,19,1945,1,1,1,6.0,3.0,59159,M,0.0,0.0,59
201000000029,10,10,26,1915,3,1,1,2.0,5.0,59576,M,5096500.0,232800.0,59
201000000030,10,11,5,1900,5,1,1,2.0,4.0,59402,M,0.0,0.0,59
201000000031,10,11,11,1930,3,1,1,6.0,7.0,59130,M,5091400.0,221700.0,59
201000000032,10,4,8,2230,3,1,1,1.0,7.0,59337,M,5082500.0,227400.0,59
201000000033,10,5,4,1900,1,2,1,1.0,1.0,59663,M,5089500.0,246400.0,59
201000000034,10,5,17,800,3,1,1,1.0,6.0,59663,M,0.0,0.0,59
201000000035,10,6,25,730,1,1,2,7.0,1.0,59663,M,5088700.0,249300.0,59
201000000036,10,8,24,1915,1,2,1,1.0,6.0,59663,M,0.0,0.0,59
201000000037,10,11,30,1745,3,1,1,8.0,5.0,59433,M,5080100.0,227900.0,59
201000000038,10,12,26,1830,3,1,1,1.0,6.0,59663,M,5089500.0,248200.0,59
201000000039,10,12,28,630,3,1,1,1.0,6.0,59663,M,5090900.0,245700.0,59
201000000040,10,4,9,2115,4,2,1,1.0,1.0,59084,M,0.0,0.0,59
201000000041,10,7,18,515,2,1,1,1.0,2.0,59634,M,0.0,0.0,59
201000000042,10,9,7,900,1,2,1,1.0,3.0,59084,M,5069500.0,240900.0,59
201000000043,10,9,10,2200,3,1,1,1.0,7.0,59577,M,5075800.0,241200.0,59
201000000044,10,11,11,1900,3,1,1,3.0,6.0,59497,M,0.0,0.0,59
201000000045,10,4,30,2215,4,2,1,8.0,1.0,59086,M,5081000.0,268400.0,59
201000000046,10,5,15,2015,3,1,1,1.0,7.0,59401,M,0.0,0.0,59
201000000047,10,7,5,1445,1,1,1,1.0,3.0,59535,M,5077300.0,274200.0,59
201000000048,10,12,5,1515,1,2,1,1.0,1.0,59237,M,5075800.0,264400.0,59
201000000049,10,1,27,1145,1,2,1,1.0,1.0,59212,M,5065200.0,272100.0,59
201000000050,10,2,1,1330,1,1,1,1.0,5.0,59268,M,0.0,0.0,59
